source,mlbam_id,fg_id,player_name,team,adp,overall_rank,format,market_timing_estimate,fantasypros_adp,rotowire_adp,fallback_adp,adp_method,notes
workspace-baseline-2026,682983,,Jud Fabian,BAL,1454.0,1459,10-team dynasty startup snake,Reserve / Late,,,1454.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,678225,,Ji Hwan Bae,NYM,1455.0,1460,10-team dynasty startup snake,Reserve / Late,,,1455.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,663584,,Hayden Senger,NYM,1456.0,1461,10-team dynasty startup snake,Reserve / Late,,,1456.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,624503,,Nick Gordon,FA,1457.0,1462,10-team dynasty startup snake,Reserve / Late,,,1457.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,677941,,Jordyn Adams,MIL,1458.0,1463,10-team dynasty startup snake,Reserve / Late,,,1458.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,671221,,Drew Waters,KC,1459.0,1464,10-team dynasty startup snake,Reserve / Late,,,1459.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,641432,,Willie Calhoun,FA,1460.0,1465,10-team dynasty startup snake,Reserve / Late,,,1460.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,694249,,Cole Carrigg,COL,1461.0,1466,10-team dynasty startup snake,Reserve / Late,,,1461.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,660757,,Oscar Gonzalez,FA,1462.0,1467,10-team dynasty startup snake,Reserve / Late,,,1462.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,660766,,Juan Yepez,TOR,1463.0,1468,10-team dynasty startup snake,Reserve / Late,,,1463.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,605131,,Austin Barnes,FA,1464.0,1469,10-team dynasty startup snake,Reserve / Late,,,1464.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,640492,,Jose Azocar,ATL,1465.0,1470,10-team dynasty startup snake,Reserve / Late,,,1465.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,670870,,Yunior Severino,MIN,1466.0,1471,10-team dynasty startup snake,Reserve / Late,,,1466.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,667452,,Corey Julks,DET,1467.0,1472,10-team dynasty startup snake,Reserve / Late,,,1467.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,678894,,Liover Peguero,PHI,1468.0,1473,10-team dynasty startup snake,Reserve / Late,,,1468.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,695299,,Terrell Tatum,FA,1469.0,1474,10-team dynasty startup snake,Reserve / Late,,,1469.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,650559,,Bryan De La Cruz,PHI,1470.0,1475,10-team dynasty startup snake,Reserve / Late,,,1470.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,695491,,Joshua Baez,STL,1471.0,1476,10-team dynasty startup snake,Reserve / Late,,,1471.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,521230,,Liam Hendriks,FA,1472.0,1477,10-team dynasty startup snake,Reserve / Late,,,1472.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,682183,,Drew Avans,COL,1473.0,1478,10-team dynasty startup snake,Reserve / Late,,,1473.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,663897,,Luke Williams,ATL,1474.0,1479,10-team dynasty startup snake,Reserve / Late,,,1474.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,650907,,Rene Pinto,PHI,1475.0,1480,10-team dynasty startup snake,Reserve / Late,,,1475.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,687394,,Jack Brannigan,PIT,1476.0,1481,10-team dynasty startup snake,Reserve / Late,,,1476.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,694661,,Riley Tirotta,TOR,1477.0,1482,10-team dynasty startup snake,Reserve / Late,,,1477.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,682927,,Ronny Simon,PIT,1478.0,1483,10-team dynasty startup snake,Reserve / Late,,,1478.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,682192,,Paul McIntosh,PHI,1479.0,1484,10-team dynasty startup snake,Reserve / Late,,,1479.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,669398,,Gage Workman,DET,1480.0,1485,10-team dynasty startup snake,Reserve / Late,,,1480.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,676480,,Jose Barrero,BAL,1481.0,1486,10-team dynasty startup snake,Reserve / Late,,,1481.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,681584,,David Villar,FA,1482.0,1487,10-team dynasty startup snake,Reserve / Late,,,1482.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,693049,,Oscar Colas,FA,1483.0,1488,10-team dynasty startup snake,Reserve / Late,,,1483.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,702358,,Trey Lipscomb,WSH,1484.0,1489,10-team dynasty startup snake,Reserve / Late,,,1484.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,676113,,Zach DeLoach,FA,1485.0,1490,10-team dynasty startup snake,Reserve / Late,,,1485.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,668853,,Austin Shenton,FA,1486.0,1491,10-team dynasty startup snake,Reserve / Late,,,1486.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,805891,,Taylor Young,LAD,1487.0,1492,10-team dynasty startup snake,Reserve / Late,,,1487.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,641820,,Trey Mancini,LAA,1488.0,1493,10-team dynasty startup snake,Reserve / Late,,,1488.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,641943,,Joshua Palacios,FA,1489.0,1494,10-team dynasty startup snake,Reserve / Late,,,1489.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,668974,,Maverick Handley,BAL,1490.0,1495,10-team dynasty startup snake,Reserve / Late,,,1490.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,666915,,Bobby Dalbec,FA,1491.0,1496,10-team dynasty startup snake,Reserve / Late,,,1491.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,663905,,Travis Blankenhorn,FA,1492.0,1497,10-team dynasty startup snake,Reserve / Late,,,1492.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,665846,,Jesus Bastidas,MIA,1493.0,1498,10-team dynasty startup snake,Reserve / Late,,,1493.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,686554,,Oliver Dunn,CHW,1494.0,1499,10-team dynasty startup snake,Reserve / Late,,,1494.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,656248,,Sean Bouchard,FA,1495.0,1500,10-team dynasty startup snake,Reserve / Late,,,1495.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,663609,,Luken Baker,ARI,1496.0,1501,10-team dynasty startup snake,Reserve / Late,,,1496.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,694646,,Chayce McDermott,BAL,1497.0,1502,10-team dynasty startup snake,Reserve / Late,,,1497.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,686531,,Andre Lipcius,FA,1498.0,1503,10-team dynasty startup snake,Reserve / Late,,,1498.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,665861,,Sebastian Rivero,LAA,1499.0,1504,10-team dynasty startup snake,Reserve / Late,,,1499.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,701394,,Zach Ehrhard,LAD,1500.0,1505,10-team dynasty startup snake,Reserve / Late,,,1500.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,696062,,Wilber Dotel,PIT,1501.0,1506,10-team dynasty startup snake,Reserve / Late,,,1501.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,675448,,Blake Hunt,SD,1502.0,1507,10-team dynasty startup snake,Reserve / Late,,,1502.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,642727,,Sergio Alcantara,WSH,1503.0,1508,10-team dynasty startup snake,Reserve / Late,,,1503.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,605182,,Mike Clevinger,PIT,1504.0,1509,10-team dynasty startup snake,Reserve / Late,,,1504.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,669699,,Braden Shewmake,NYY,1505.0,1510,10-team dynasty startup snake,Reserve / Late,,,1505.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,671117,,Darren Baker,CHW,1506.0,1511,10-team dynasty startup snake,Reserve / Late,,,1506.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,703607,,Henry Bolte,ATH,1507.0,1512,10-team dynasty startup snake,Reserve / Late,,,1507.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,647351,,Abraham Toro,KC,1508.0,1513,10-team dynasty startup snake,Reserve / Late,,,1508.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,681123,,Luca Tresh,KC,1509.0,1514,10-team dynasty startup snake,Reserve / Late,,,1509.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,669222,,Nick Senzel,LAD,1510.0,1515,10-team dynasty startup snake,Reserve / Late,,,1510.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,691267,,Alex Ramirez,FA,1511.0,1516,10-team dynasty startup snake,Reserve / Late,,,1511.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,701831,,Carson DeMartini,PHI,1512.0,1517,10-team dynasty startup snake,Reserve / Late,,,1512.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,672613,,Eliezer Alfonzo,LAD,1513.0,1518,10-team dynasty startup snake,Reserve / Late,,,1513.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,666165,,Blake Sabol,TB,1514.0,1519,10-team dynasty startup snake,Reserve / Late,,,1514.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,676632,,Bligh Madris,STL,1515.0,1520,10-team dynasty startup snake,Reserve / Late,,,1515.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,665506,,Cristian Pache,NYM,1516.0,1521,10-team dynasty startup snake,Reserve / Late,,,1516.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,660636,,Diego Castillo,FA,1517.0,1522,10-team dynasty startup snake,Reserve / Late,,,1517.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,665155,,Nick Maton,FA,1518.0,1523,10-team dynasty startup snake,Reserve / Late,,,1518.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,694355,,Tyler Gentry,KC,1519.0,1524,10-team dynasty startup snake,Reserve / Late,,,1519.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,676105,,Jeff Criswell,COL,1520.0,1525,10-team dynasty startup snake,Reserve / Late,,,1520.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,669717,,Will Wilson,SEA,1521.0,1526,10-team dynasty startup snake,Reserve / Late,,,1521.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,703492,,Nick Morabito,NYM,1522.0,1527,10-team dynasty startup snake,Reserve / Late,,,1522.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,686810,,Brennan Milone,ATH,1523.0,1528,10-team dynasty startup snake,Reserve / Late,,,1523.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,668845,,Aaron Schunk,ATL,1524.0,1529,10-team dynasty startup snake,Reserve / Late,,,1524.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,681962,,Vinny Capra,BOS,1525.0,1530,10-team dynasty startup snake,Reserve / Late,,,1525.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,687867,,Clay Dungan,SD,1526.0,1531,10-team dynasty startup snake,Reserve / Late,,,1526.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,676701,,Alan Trejo,FA,1527.0,1532,10-team dynasty startup snake,Reserve / Late,,,1527.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,694425,,Justice Bigbie,DET,1528.0,1533,10-team dynasty startup snake,Reserve / Late,,,1528.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,687783,,Matthew Wood,MIL,1529.0,1534,10-team dynasty startup snake,Reserve / Late,,,1529.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,670097,,Zack Short,NYY,1530.0,1535,10-team dynasty startup snake,Reserve / Late,,,1530.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,813896,,Joseph Sullivan,HOU,1531.0,1536,10-team dynasty startup snake,Reserve / Late,,,1531.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,680911,,Owen Miller,CHC,1532.0,1537,10-team dynasty startup snake,Reserve / Late,,,1532.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,687272,,Tucker Flint,LAA,1533.0,1538,10-team dynasty startup snake,Reserve / Late,,,1533.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,676946,,Matthew Batten,FA,1534.0,1539,10-team dynasty startup snake,Reserve / Late,,,1534.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,682239,,Luke Ritter,FA,1535.0,1540,10-team dynasty startup snake,Reserve / Late,,,1535.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,675961,,Alika Williams,PIT,1536.0,1541,10-team dynasty startup snake,Reserve / Late,,,1536.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,666197,,Grae Kessinger,NYM,1537.0,1542,10-team dynasty startup snake,Reserve / Late,,,1537.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,676070,,Jacob Amaya,ARI,1538.0,1543,10-team dynasty startup snake,Reserve / Late,,,1538.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,621512,,Tomas Nido,DET,1539.0,1544,10-team dynasty startup snake,Reserve / Late,,,1539.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,642215,,Weston Wilson,BAL,1540.0,1545,10-team dynasty startup snake,Reserve / Late,,,1540.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,694346,,Trey Gibson,BAL,1541.0,1546,10-team dynasty startup snake,Reserve / Late,,,1541.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,669067,,Ryan Webb,CLE,1542.0,1547,10-team dynasty startup snake,Reserve / Late,,,1542.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,691442,,Wilfred Veras,CHW,1543.0,1548,10-team dynasty startup snake,Reserve / Late,,,1543.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,645305,,Ali Sanchez,NYY,1544.0,1549,10-team dynasty startup snake,Reserve / Late,,,1544.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,688460,,Josh Kasevich,TOR,1545.0,1550,10-team dynasty startup snake,Reserve / Late,,,1545.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,691907,,Tsung-Che Cheng,BOS,1546.0,1551,10-team dynasty startup snake,Reserve / Late,,,1546.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,656896,,Emmanuel Rivera,FA,1547.0,1552,10-team dynasty startup snake,Reserve / Late,,,1547.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,642197,,Jamie Westbrook,FA,1548.0,1553,10-team dynasty startup snake,Reserve / Late,,,1548.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,682073,,David Hensley,MIA,1549.0,1554,10-team dynasty startup snake,Reserve / Late,,,1549.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,680716,,Jonathan Ornelas,NYY,1550.0,1555,10-team dynasty startup snake,Reserve / Late,,,1550.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,691011,,Drew Romo,CHW,1551.0,1556,10-team dynasty startup snake,Reserve / Late,,,1551.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,695596,,Nick Raposo,SEA,1552.0,1557,10-team dynasty startup snake,Reserve / Late,,,1552.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,800060,,Xavier Isaac,TB,1553.0,1558,10-team dynasty startup snake,Reserve / Late,,,1553.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,682617,,Marco Luciano,NYY,1554.0,1559,10-team dynasty startup snake,Reserve / Late,,,1554.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,828599,,Lucas Spence,HOU,1555.0,1560,10-team dynasty startup snake,Reserve / Late,,,1555.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,701546,,Duce Gourson,PIT,1556.0,1561,10-team dynasty startup snake,Reserve / Late,,,1556.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,699013,,Esmerlyn Valdez,PIT,1557.0,1562,10-team dynasty startup snake,Reserve / Late,,,1557.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,695930,,Frederick Bencosme,BAL,1558.0,1563,10-team dynasty startup snake,Reserve / Late,,,1558.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,661531,,Brian Serven,ATH,1559.0,1564,10-team dynasty startup snake,Reserve / Late,,,1559.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,665782,,Luis De Los Santos,FA,1560.0,1565,10-team dynasty startup snake,Reserve / Late,,,1560.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,595281,,Kevin Kiermaier,FA,1561.0,1566,10-team dynasty startup snake,Reserve / Late,,,1561.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,695763,,Sam Petersen,WSH,1562.0,1567,10-team dynasty startup snake,Reserve / Late,,,1562.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,702544,,Jacob Reimer,NYM,1563.0,1568,10-team dynasty startup snake,Reserve / Late,,,1563.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,692238,,Parks Harber,SF,1564.0,1569,10-team dynasty startup snake,Reserve / Late,,,1564.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,694848,,Sam Brown,WSH,1565.0,1570,10-team dynasty startup snake,Reserve / Late,,,1565.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,642180,,Tyler Wade,TEX,1567.0,1571,10-team dynasty startup snake,Reserve / Late,,,1567.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,680837,,Ryan Fitzgerald,LAD,1568.0,1572,10-team dynasty startup snake,Reserve / Late,,,1568.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,682653,,Warming Bernabel,WSH,1569.0,1573,10-team dynasty startup snake,Reserve / Late,,,1569.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,699024,,Leo Bernal,STL,1571.0,1574,10-team dynasty startup snake,Reserve / Late,,,1571.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,699130,,Jadher Areinamo,TB,1572.0,1575,10-team dynasty startup snake,Reserve / Late,,,1572.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,669137,,Armando Alvarez,ATH,1573.0,1576,10-team dynasty startup snake,Reserve / Late,,,1573.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,664068,,Scott Kingery,CHC,1575.0,1577,10-team dynasty startup snake,Reserve / Late,,,1575.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,641645,,Luis Guillorme,FA,1576.0,1578,10-team dynasty startup snake,Reserve / Late,,,1576.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,695692,,Cooper Kinney,TB,1578.0,1579,10-team dynasty startup snake,Reserve / Late,,,1578.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,699912,,Jose Fernandez,ARI,1579.0,1580,10-team dynasty startup snake,Reserve / Late,,,1579.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,699073,,Thayron Liranzo,DET,1580.0,1581,10-team dynasty startup snake,Reserve / Late,,,1580.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,827665,,Dillon Lewis,MIA,1581.0,1582,10-team dynasty startup snake,Reserve / Late,,,1581.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,642020,,Chuckie Robinson,LAD,1582.0,1583,10-team dynasty startup snake,Reserve / Late,,,1582.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,677337,,Pete Hansen,STL,1583.0,1584,10-team dynasty startup snake,Reserve / Late,,,1583.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,546991,,Albert Almora Jr.,FA,1584.0,1585,10-team dynasty startup snake,Reserve / Late,,,1584.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,623912,,Harold Ramirez,WSH,1585.0,1586,10-team dynasty startup snake,Reserve / Late,,,1585.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,687134,,Bradley Blalock,MIA,1586.0,1587,10-team dynasty startup snake,Reserve / Late,,,1586.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
